user_id,correct
0,1
1,0
2,1
4,1
5,0
6,0
9,0
10,0
12,0
13,1
14,0
16,0
19,1
21,0
22,1
28,1
29,1
31,0
32,0
34,1
37,1
40,1
41,1
42,0
44,1
45,1
48,1
49,0
53,1
54,0
55,1
58,1
60,1
61,0
64,1
65,0
67,0
68,1
72,0
74,1
76,1
77,1
78,0
80,0
82,0
86,1
87,1
93,1
95,0
97,0
100,1
102,0
103,0
107,1
109,1
110,1
112,0
115,0
118,0
122,0
123,1
124,1
129,1
131,1
134,0
135,1
140,0
142,1
143,0
145,1
148,0
153,1
158,0
159,1
160,0
162,0
168,0
171,0
172,0
174,0
176,1
177,1
178,0
180,0
181,0
183,0
185,0
187,0
194,1
198,1
203,0
211,1
212,1
214,1
216,1
224,1
227,0
228,0
231,1
233,1
236,0
239,1
241,1
242,1
248,0
251,0
252,1
258,1
270,0
271,1
272,1
273,1
275,1
277,1
279,0
281,1
285,0
286,0
287,1
289,1
293,1
294,1
297,1
298,1
300,0
302,1
303,1
310,1
313,1
314,0
316,1
317,0
320,1
321,1
322,0
323,1
324,0
329,1
330,1
331,1
333,1
334,1
337,1
341,1
342,0
345,1
346,0
347,1
348,1
353,1
354,1
356,0
360,0
363,1
364,0
365,1
366,1
367,1
369,1
370,1
372,0
373,0
376,0
377,1
378,1
384,0
387,0
389,0
393,0
401,0
402,1
404,0
405,0
406,0
408,0
411,1
413,0
415,0
417,0
418,1
419,0
421,0
423,0
424,1
425,1
429,1
434,1
435,1
436,0
439,1
440,0
442,0
443,0
444,0
446,1
447,0
448,0
451,0
457,0
459,0
464,1
471,1
473,0
474,1
476,1
479,1
483,1
484,1
488,1
494,1
501,0
505,0
507,0
508,0
509,0
510,0
511,0
513,1
519,1
520,0
521,0
523,0
527,0
529,1
530,1
531,1
532,1
533,0
535,1
536,1
538,0
539,0
541,1
544,1
547,1
548,1
549,0
550,1
552,0
553,0
556,1
557,1
558,0
566,0
567,0
568,1
569,0
571,0
572,1
574,0
575,0
576,1
578,0
579,0
581,0
582,1
585,0
587,0
591,1
592,0
598,0
600,1
602,1
603,0
605,1
607,1
608,0
611,1
612,1
614,1
615,1
617,1
618,0
619,1
620,1
623,1
624,1
625,1
626,0
628,0
629,1
630,1
631,0
632,1
633,0
638,1
642,0
643,1
644,1
649,1
650,0
651,1
655,0
656,0
657,1
659,1
661,1
663,0
668,1
669,0
670,0
672,1
674,1
676,0
677,1
679,1
680,1
681,0
682,1
684,0
686,0
689,1
690,1
692,0
694,1
696,0
698,0
705,0
706,0
709,1
711,1
712,0
713,0
716,1
717,1
718,0
720,1
722,1
723,1
726,1
730,0
731,0
732,0
733,0
737,1
740,0
741,1
742,0
743,1
744,1
745,0
750,0
752,1
755,0
761,0
762,1
768,1
773,0
776,1
778,1
780,0
783,1
787,1
788,1
789,1
791,1
796,0
799,0
802,0
807,0
809,0
810,1
812,1
814,1
815,0
819,0
822,0
824,0
826,0
833,0
835,0
836,1
838,1
840,0
842,1
845,0
848,1
849,1
850,1
851,1
852,1
856,1
857,0
859,1
860,0
861,0
864,1
866,0
871,1
874,1
875,0
877,1
881,1
887,1
888,0
889,1
890,0
893,1
897,1
898,0
900,0
903,1
904,1
908,1
909,1
910,1
911,0
912,0
913,0
915,0
916,0
917,1
924,0
927,0
931,1
935,0
936,1
945,0
946,0
947,0
949,1
952,1
958,1
960,0
961,1
966,0
967,0
968,1
969,0
972,0
973,0
975,0
976,0
978,0
981,1
982,1
984,0
985,0
987,1
993,0
996,0
1002,1
1003,0
1007,1
1012,1
1013,0
1014,0
1015,1
1016,0
1018,0
1023,1
1026,1
1029,0
1030,1
1032,0
1033,0
1034,1
1035,1
1039,0
1041,1
1045,0
1046,1
1048,0
1049,0
1050,1
1053,1
1054,1
1055,1
1056,1
1058,0
1061,1
1063,1
1064,0
1066,1
1068,0
1069,1
1070,0
1071,1
1072,1
1076,1
1077,1
1082,0
1084,1
1088,1
1090,0
1092,1
1095,0
1096,1
1098,0
1099,1
1102,1
1103,0
1105,1
1107,0
1109,0
1110,0
1111,1
1115,1
1118,0
1119,0
1120,1
1121,0
1125,1
1130,0
1135,0
1136,1
1138,1
1141,0
1145,0
1146,1
1150,0
1151,1
1155,0
1157,1
1158,1
1162,0
1166,0
1168,0
1169,1
1170,1
1171,0
1172,0
1173,0
1175,0
1176,0
1177,0
1178,0
1180,1
1181,1
1184,0
1187,0
1188,0
1191,1
1192,0
1193,0
1195,0
1197,1
1199,1
1201,1
1202,1
1205,0
1206,0
1207,1
1214,0
1215,0
1218,1
1221,1
1222,0
1226,0
1227,1
1228,1
1230,0
1235,0
1238,1
1239,0
1241,0
1242,1
1243,1
1247,0
1248,0
1252,0
1253,1
1254,0
1256,0
1257,0
1258,0
1260,1
1261,1
1263,1
1266,0
1267,1
1269,0
1270,0
1271,0
1272,1
1274,1
1285,1
1287,1
1291,1
1293,1
1294,0
1295,1
1297,0
1301,0
1305,1
1306,1
1309,1
1310,1
1312,1
1315,1
1318,0
1320,1
1321,1
1322,0
1323,1
1324,0
1327,0
1328,0
1329,1
1333,0
1335,0
1336,0
1343,0
1344,1
1346,0
1348,1
1350,1
1351,1
1353,1
1355,0
1357,1
1358,1
1361,0
1363,1
1364,0
1365,1
1368,1
1370,1
1374,0
1376,1
1377,0
1383,0
1388,0
1390,1
1393,0
1395,1
1397,0
1398,0
1400,0
1402,1
1406,1
1407,1
1410,1
1413,0
1414,1
1418,1
1420,0
1421,0
1423,0
1424,1
1425,1
1426,0
1429,1
1430,1
1433,0
1435,1
1438,1
1441,0
1442,1
1443,0
1446,0
1447,0
1450,1
1451,1
1452,0
1453,0
1461,0
1462,0
1463,0
1464,0
1466,0
1469,0
1470,0
1471,0
1472,0
1476,1
1477,1
1481,0
1483,0
1484,0
1486,1
1488,0
1491,0
1492,0
1493,0
1494,1
1495,1
1496,1
1497,1
1499,1
1500,0
1506,1
1507,1
1508,1
1509,0
1511,1
1513,0
1516,0
1518,1
1519,1
1520,1
1521,0
1522,0
1523,0
1526,0
1528,0
1529,0
1534,1
1535,0
1537,0
1540,1
1542,0
1543,0
1545,0
1551,1
1553,0
1554,0
1555,1
1557,0
1560,0
1564,1
1566,1
1573,0
1574,0
1577,1
1578,1
1579,0
1584,1
1586,0
1589,0
1592,0
1594,0
1597,1
1598,1
1599,0
1600,1
1601,0
1602,0
1603,1
1611,1
1614,0
1615,0
1617,1
1619,0
1624,1
1627,1
1631,0
1636,1
1639,0
1640,1
1642,1
1643,0
1646,0
1648,1
1649,1
1651,1
1652,1
1654,1
1658,0
1659,1
1661,1
1662,1
1664,1
1665,0
1671,1
1672,1
1673,0
1674,0
1675,1
1678,1
1679,0
1681,1
1683,0
1685,0
1686,1
1691,0
1692,0
1696,1
1699,0
1700,1
1704,0
1706,1
1708,1
1709,1
1710,0
1711,0
1712,0
1713,1
1714,1
1715,1
1717,0
1719,0
1720,1
1724,1
1727,1
1729,1
1731,0
1733,1
1734,0
1735,1
1736,0
1739,0
1740,0
1741,0
1750,0
1751,1
1752,1
1758,0
1760,1
1761,0
1766,1
1767,0
1770,0
1782,1
1783,0
1784,0
1785,1
1787,0
1790,0
1791,0
1793,1
1795,1
1797,1
1798,1
1800,1
1801,1
1802,1
1804,0
1805,0
1806,0
1807,1
1811,1
1812,0
1813,1
1816,1
1821,1
1822,1
1823,0
1824,1
1825,1
1826,0
1827,1
1828,1
1829,1
1830,0
1831,1
1832,0
1833,1
1835,1
1836,0
1837,0
1838,0
1839,0
1840,1
1843,1
1844,1
1846,0
1847,1
1848,1
1851,1
1853,0
1854,0
1857,1
1859,0
1861,1
1864,1
1866,1
1867,1
1868,1
1871,0
1873,1
1874,1
1877,0
1878,1
1879,1
1881,1
1888,1
1890,0
1893,0
1896,1
1899,1
1900,1
1906,0
1907,1
1908,1
1909,0
1911,0
1914,0
1916,1
1918,0
1919,0
1921,1
1924,0
1925,1
1926,0
1928,0
1929,1
1932,1
1933,0
1934,1
1935,1
1943,1
1947,1
1948,1
1949,1
1953,0
1958,0
1962,1
1964,1
1967,1
1969,0
1970,0
1971,1
1973,1
1974,0
1975,1
1983,1
1984,0
1986,1
1987,1
1990,1
1991,1
1992,0
1993,1
1994,0
1996,0
1998,0
1999,1
2000,1
2001,1
2003,0
2004,0
2006,1
2008,0
2014,1
2015,1
2016,0
2024,1
2027,0
2029,1
2030,0
2031,0
2032,0
2033,1
2034,0
2035,1
2038,1
2040,1
2041,1
2043,0
2044,0
2045,0
2047,0
2049,0
2050,1
2053,1
2057,0
2059,1
2061,1
2069,1
2075,0
2076,0
2077,1
2085,1
2088,0
2092,0
2094,1
2096,0
2097,0
2100,0
2102,1
2103,1
2104,0
2105,0
2109,0
2111,0
2116,1
2117,0
2118,0
2119,0
2120,0
2122,0
2123,0
2124,0
2125,1
2126,1
2129,0
2131,1
2135,0
2136,0
2138,1
2139,0
2140,1
2141,1
2142,0
2143,1
2146,0
2147,0
2149,1
2151,1
2153,0
2155,1
2156,1
2158,0
2159,0
2160,0
2161,1
2163,1
2164,1
2165,1
2166,1
2167,0
2168,0
2169,1
2173,0
2174,1
2176,1
2177,0
2182,0
2185,1
2186,0
2191,0
2192,1
2193,0
2197,0
2199,1
2200,0
2205,0
2209,0
2210,0
2213,0
2215,1
2217,1
2219,0
2221,0
2223,1
2224,1
2226,0
2229,0
2231,1
2232,0
2233,0
2235,0
2236,1
2237,1
2238,1
2241,0
2246,1
2248,0
2250,0
2253,1
2257,0
2259,1
2260,1
2261,1
2262,1
2263,1
2264,1
2267,1
2274,1
2275,1
2278,0
2279,0
2285,1
2287,0
2288,1
2290,0
2300,1
2305,0
2306,0
2307,0
2308,1
2309,0
2310,1
2312,1
2313,0
2318,0
2319,0
2327,1
2331,1
2332,0
2333,0
2336,0
2337,0
2338,0
2340,1
2346,1
2347,1
2348,1
2354,1
2355,0
2358,1
2359,0
2360,1
2367,0
2370,1
2372,0
2373,0
2376,1
2377,1
2378,0
2380,0
2382,1
2383,1
2384,0
2386,1
2387,0
2388,1
2389,1
2391,1
2393,1
2395,0
2396,0
2398,0
2402,1
2403,0
2405,0
2407,1
2408,1
2409,1
2410,1
2419,1
2421,1
2427,1
2432,1
2433,0
2434,1
2436,1
